,enriched_amount_usd,card_present,cardholder_present,is_fraud,hour,day_of_week,is_weekend,cross_border
enriched_amount_usd,1.0,-0.009094147776567765,-0.10585869209281927,0.25934793047330806,0.004716203188288235,0.0024067972988391835,0.005093461423117702,0.08803164980123483
card_present,-0.009094147776567765,1.0,0.14179333252246362,-0.03165510320126131,-0.0012026463989942286,-0.0023987257731758684,0.0015501174817149396,-0.011133275933314151
cardholder_present,-0.10585869209281927,0.14179333252246362,1.0,-0.41653671613866944,0.012118191299087039,-0.0003565366001938544,0.0010768351027598915,-0.15874675576671193
is_fraud,0.25934793047330806,-0.03165510320126131,-0.41653671613866944,1.0,-0.037814659097864724,-0.00031539982811379976,-0.0018960396889360436,0.38405131160968387
hour,0.004716203188288235,-0.0012026463989942286,0.012118191299087039,-0.037814659097864724,1.0,-0.003119013307763238,-0.010288287612890743,-0.014813874950040062
day_of_week,0.0024067972988391835,-0.0023987257731758684,-0.0003565366001938544,-0.00031539982811379976,-0.003119013307763238,1.0,0.7593541324620141,0.004207357502325005
is_weekend,0.005093461423117702,0.0015501174817149396,0.0010768351027598915,-0.0018960396889360436,-0.010288287612890743,0.7593541324620141,1.0,-0.0005338922814482111
cross_border,0.08803164980123483,-0.011133275933314151,-0.15874675576671193,0.38405131160968387,-0.014813874950040062,0.004207357502325005,-0.0005338922814482111,1.0
