is_fraud,count,mean,std,min,25%,50%,75%,max
0,49310.0,40.62812330156155,228.52723169264877,0.01,0.66,11.94,36.347500000000004,36144.22
1,1642.0,401.12823995127894,419.4500502584304,1.6,8.7325,278.48,694.6725,3081.16
