trial,pr_auc,roc_auc,precision_at_0_5,recall_at_0_5,f1_at_0_5,subsample,reg_lambda,reg_alpha,num_leaves,n_estimators,min_child_samples,max_depth,learning_rate,colsample_bytree
12,0.7373991834401414,0.9634411368910836,0.42680776014109345,0.8120805369127517,0.5595375722543353,0.7,5.0,0.0,31,800,100,8,0.03,1.0
27,0.736465089232122,0.9649286805836703,0.31773399014778325,0.8657718120805369,0.4648648648648649,0.8,0.0,1.0,31,300,10,8,0.03,1.0
6,0.7353407049002337,0.9610102467312527,0.7195571955719557,0.6543624161073825,0.6854130052724078,0.7,1.0,0.1,63,800,50,12,0.08,1.0
30,0.7349997424004523,0.9648399411539974,0.3798449612403101,0.8221476510067114,0.5196182396606575,0.7,1.0,0.0,63,800,100,-1,0.01,1.0
3,0.7341530491060944,0.9624033488621395,0.5174013921113689,0.7483221476510067,0.6117969821673526,1.0,1.0,1.0,15,1000,20,-1,0.08,1.0
7,0.7341177334748681,0.9634332964595461,0.2764830508474576,0.8758389261744967,0.42028985507246375,0.7,1.0,0.0,31,300,50,5,0.03,0.8
1,0.7339009304738521,0.9646781431577267,0.37808641975308643,0.8221476510067114,0.5179704016913319,0.7,0.1,1.0,15,800,10,5,0.05,0.7
23,0.7334703954802467,0.9633948070683628,0.5206812652068127,0.7181208053691275,0.6036671368124118,1.0,0.0,1.0,31,500,100,8,0.08,0.7
18,0.7319043629304923,0.9643720099445184,0.37888198757763975,0.8187919463087249,0.5180467091295117,0.8,0.0,0.0,31,500,20,12,0.03,1.0
40,0.7310793948879607,0.9616467472187851,0.4506769825918762,0.7818791946308725,0.5717791411042945,0.8,0.0,1.0,63,300,100,8,0.05,1.0
10,0.7295976775183601,0.9646970314700667,0.32205513784461154,0.8624161073825504,0.46897810218978103,0.7,0.1,0.0,31,300,20,5,0.05,0.7
39,0.7286643849396639,0.9643470631168993,0.3213399503722084,0.8691275167785235,0.4692028985507246,1.0,1.0,0.0,31,500,10,5,0.03,0.7
22,0.7285327129046423,0.9625679979244239,0.37694704049844235,0.8120805369127517,0.5148936170212766,0.8,0.1,0.0,15,800,50,5,0.05,1.0
26,0.7278127147771996,0.9626955831285318,0.39932885906040266,0.7986577181208053,0.5324384787472036,1.0,0.0,0.0,63,1000,10,8,0.01,1.0
21,0.7268582182785192,0.9639621692050657,0.3239795918367347,0.8523489932885906,0.46950092421441775,0.8,0.0,0.0,63,500,50,-1,0.01,0.8
15,0.7202728390441613,0.9605515814863176,0.2237403928266439,0.8791946308724832,0.3567052416609939,1.0,5.0,0.0,15,500,50,8,0.01,1.0
19,0.7171966039246891,0.962217673188005,0.22436974789915967,0.8959731543624161,0.3588709677419355,0.8,1.0,0.1,15,500,10,12,0.01,0.7
9,0.7163771635530436,0.9615334173447452,0.2788671023965142,0.8590604026845637,0.42105263157894735,1.0,5.0,1.0,63,500,100,8,0.01,1.0
25,0.7122186096867335,0.9620929390499108,0.24220183486238533,0.8859060402684564,0.3804034582132565,1.0,5.0,0.0,31,500,50,5,0.01,0.7
32,0.6752890302385998,0.9569980840836388,0.20556414219474498,0.8926174496644296,0.3341708542713568,0.7,0.1,0.1,15,300,20,8,0.01,0.8
35,0.6694458758597708,0.9572979805899425,0.20692307692307693,0.9026845637583892,0.33667083854818525,1.0,0.0,0.0,15,300,20,8,0.01,0.7
